Code,Description,Category,Subcategory
110,Homicide,Violent Crimes,Homicide 
113,Manslaughter,Violent Crimes,Homicide 
121,Rape,Violent Crimes,Rape 
122,Attempted Rape,Violent Crimes,Rape 
815,Sexual Penetration w/ Foreign Object,Violent Crimes,Rape 
820,Oral Copulation,Violent Crimes,Rape 
821,Sodomy,Violent Crimes,Rape 
210,Robbery,Violent Crimes,Robbery
220,Robbery - attempted,Violent Crimes,Robbery
230,Assault With Deadly Weapon (ADW),Violent Crimes,Agg. Assaults
231,ADW against LAPD Police Officer,Violent Crimes,Agg. Assaults
235,Child beating,Violent Crimes,Agg. Assaults
236,Spousal beating,Violent Crimes,Agg. Assaults
250,Shots Fired,Violent Crimes,Agg. Assaults
251,Shots fired inhabited dwelling,Violent Crimes,Agg. Assaults
761,Brandishing,Violent Crimes,Agg. Assaults
926,Train Wrecking,Violent Crimes,Agg. Assaults
435,Lynching,Violent Crimes,Simple Assault
436,Lynching - attempted,Violent Crimes,Simple Assault
437,Resisting Arrest,Violent Crimes,Simple Assault
622,Battery on Firefighter,Violent Crimes,Simple Assault
623,Battery on Police Officer,Violent Crimes,Simple Assault
624,Battery - misdemeanor,Violent Crimes,Simple Assault
625,Other Misd. Assault,Violent Crimes,Simple Assault
626,Spousal/Cohab Abuse - Simple Assault,Violent Crimes,Simple Assault
627,Child Abuse - Simple Assault,Violent Crimes,Simple Assault
647,Throwing substance at vehicle,Violent Crimes,Simple Assault
763,Stalking,Violent Crimes,Simple Assault
928,Threatening Phone Calls / Letters,Violent Crimes,Simple Assault
930,Criminal Threats,Violent Crimes,Simple Assault
310,Burglary,Property Crimes,Burglary
320,Burglary - attempted,Property Crimes,Burglary
510,Stolen Vehicle,Property Crimes,Grand Theft Auto
520,Stolen Vehicle - attempted,Property Crimes,Grand Theft Auto
433,Driving While Out of Control,Property Crimes,Grand Theft Auto
330,Burg from Vehicle,Property Crimes,Burglary/Theft From Vehicle
331,Theft from vehicle - $950.01 & over,Property Crimes,Burglary/Theft From Vehicle
410,Burg from Vehicle - attempted,Property Crimes,Burglary/Theft From Vehicle
420,Theft from vehicle - $950 & under,Property Crimes,Burglary/Theft From Vehicle
421,Theft from vehicle attempted,Property Crimes,Burglary/Theft From Vehicle
350,Theft from person,Property Crimes,Personal Theft
351,Pursesnatch,Property Crimes,Personal Theft
352,Pickpocket,Property Crimes,Personal Theft
353,Drunkroll,Property Crimes,Personal Theft
450,Theft from person - attempted,Property Crimes,Personal Theft
451,Pursesnatch - attempted,Property Crimes,Personal Theft
452,Pickpocket - attempted,Property Crimes,Personal Theft
453,Drunkroll - attempted,Property Crimes,Personal Theft
341,Theft - $950.01 & over,Property Crimes,Other Theft
343,Shoplifting - $950.01 & over,Property Crimes,Other Theft
345,Dishonest employee - grand theft,Property Crimes,Other Theft
440,Theft - $950 & under,Property Crimes,Other Theft
441,Theft - attempted,Property Crimes,Other Theft
442,Shoplifting - $950 & under,Property Crimes,Other Theft
443,Shoplifting - attempted,Property Crimes,Other Theft
444,Dishonest employee - petty theft,Property Crimes,Other Theft
445,Dishonest Employee - attempted,Property Crimes,Other Theft
470,Till Tap - $950.01 & over,Property Crimes,Other Theft
471,Till Tap - $950 & under,Property Crimes,Other Theft
472,Till Tap - attempted,Property Crimes,Other Theft
473,Theft from coin m/c - $950.01 & over,Property Crimes,Other Theft
474,Theft from coin m/c - $950 & under,Property Crimes,Other Theft
475,Theft from coin m/c - attempted,Property Crimes,Other Theft
480,Bicycle - stolen,Property Crimes,Other Theft
485,Bicycle - attempted stolen,Property Crimes,Other Theft
487,Boat - stolen,Property Crimes,Other Theft
491,Boat - attempted stolen,Property Crimes,Other Theft
